Model,Organization,Publication Year,Domain,Parameters,Training compute (FLOP),Avg_FLOP_per_Joule,Primary_Country,Country_Code,Grid Carbon Intensity,Estimated_Energy_MWh,Estimated_Carbon_Footprint_tCO2
Grok 4,xAI,2025,"Language,Multimodal,Vision",3000000000000.0,5.0000000000001e+26,6704727195423.624,United States of America,,383.78,20715.069359375517,7950.029318741135
Llama 4 Behemoth (preview),Meta AI,2025,"Multimodal,Language,Vision",2000000000000.0,5.18400000000001e+25,6704727195423.624,United States of America,,383.78,2147.738391180015,824.2590397670662
GPT-4o (Mar 2025),OpenAI,2025,"Multimodal,Language,Audio,Speech,Vision",,,6704727195423.624,United States of America,,383.78,,
Llama Nemotron Ultra 253B,NVIDIA,2025,Language,253000000000.0,3.911001e+25,6704727195423.624,United States of America,,383.78,1620.333139591708,621.8514523125057
GPT-4.5,OpenAI,2025,"Language,Vision,Multimodal",,3.8e+26,6704727195423.624,United States of America,,383.78,15743.45271312508,6042.022282243143
Grok 3,xAI,2025,"Language,Vision,Multimodal",3000000000000.0,3.5000000000000006e+26,6704727195423.624,United States of America,,383.78,14500.548551562577,5565.020523118686
GPT-4o (Jan 2025),OpenAI,2025,"Multimodal,Language,Audio,Speech,Vision",,,6704727195423.624,United States of America,,383.78,,
GPT-4o (Nov 2024),OpenAI,2024,"Multimodal,Language,Audio,Speech,Vision",,,3292918793195.109,United States of America,USA,383.78,,
GLM-4-Plus,Z.ai (Zhipu AI),2024,Language,,,3292918793195.109,China,CHN,555.4,,
Grok-2,xAI,2024,"Language,Vision,Multimodal",,2.9599999999999996e+25,3292918793195.109,United States of America,USA,383.78,2496.94047700588,958.2758162653166
GPT-4o (Aug 2024),OpenAI,2024,"Multimodal,Language,Audio,Speech,Vision",,,3292918793195.109,United States of America,USA,383.78,,
Llama 3.1-405B,Meta AI,2024,Language,405000000000.0,3.8e+25,3292918793195.109,United States of America,USA,383.78,3205.531693453495,1230.2189533135822
Claude 3.5 Sonnet,Anthropic,2024,"Multimodal,Language,Vision",,2.700000000000001e+25,3292918793195.109,United States of America,USA,383.78,2277.614624295905,874.1029405122823
Nemotron-4 340B,NVIDIA,2024,Language,340000000000.0,1.8e+25,3292918793195.109,United States of America,USA,383.78,1518.4097495306028,582.7352936748548
GPT-4o,OpenAI,2024,"Multimodal,Language,Audio,Speech,Vision",,,3292918793195.109,United States of America,USA,383.78,,
GPT-4 Turbo (Apr 2024),OpenAI,2024,"Multimodal,Vision,Language,Image generation",,,3292918793195.109,United States of America,USA,383.78,,
Claude 3 Opus,Anthropic,2024,"Multimodal,Language,Vision",,,3292918793195.109,United States of America,USA,383.78,,
Gemini 1.5 Pro,Google DeepMind,2024,"Language,Multimodal",,,3292918793195.109,United States of America,USA,383.78,,
GLM-4 (0116),Z.ai (Zhipu AI),2024,Language,,,3292918793195.109,China,CHN,555.4,,
Gemini 1.0 Ultra,Google DeepMind,2023,"Multimodal,Language,Vision",,5.0000000001e+25,1811414237934.1624,United States of America,USA,392.89,7667.428354215835,3012.455926087859
Inflection-2,Inflection AI,2023,Language,,1.001e+25,1811414237934.1624,United States of America,USA,392.89,1535.0191564833096,603.0936763907275
GPT-4 Turbo (Nov 2023),OpenAI,2023,"Multimodal,Vision,Language,Image generation",,,1811414237934.1624,United States of America,USA,392.89,,
Amazon Titan,Amazon,2023,"Language,Image generation",200000000000.0,4.8e+24,1811414237934.1624,United States of America,USA,392.89,736.0731219899986,289.1957688986506
Falcon-180B,Technology Innovation Institute,2023,Language,180000000000.0,3.76e+24,1811414237934.1624,United Arab Emirates,ARE,483.79,576.590612225499,278.94877228857416
Claude 2,Anthropic,2023,Language,,3.866e+24,1811414237934.1624,United States of America,USA,392.89,592.8455603361115,232.9230922004548
PaLM 2,Google,2023,Language,340000000000.0,7.34e+24,1811414237934.1624,United States of America,USA,392.89,1125.578482376373,442.2285299408532
SenseChat,SenseTime,2023,Language,180000000000.0,3.89e+24,1811414237934.1624,Hong Kong,HKG,674.44,596.5259259460614,402.3209454950616
GPT-4 (Mar 2023),OpenAI,2023,"Multimodal,Language,Vision",1800000000000.0,2.1e+25,1811414237934.1624,United States of America,USA,392.89,3220.319908706244,1265.2314889315962
GPT-4 (Jun 2023),OpenAI,2023,"Multimodal,Language,Vision",1800000000000.0,2.1e+25,1811414237934.1624,United States of America,USA,392.89,3220.319908706244,1265.2314889315962
U-PaLM (540B),Google,2022,Language,540000000000.0,2.53e+24,1597552651329.6345,United States of America,USA,410.39,439.9089927914798,180.5342515516954
Flan-PaLM 540B,Google,2022,Language,540000000000.0,2.540000000001e+24,1597552651329.6345,United States of America,USA,410.39,441.6477635141498,181.24782566857195
Minerva (540B),Google,2022,Language,540350000000.0,2.7415e+24,1597552651329.6345,United States of America,USA,410.39,476.6839935722696,195.62634412212373
PaLM (540B),Google Research,2022,Language,540350000000.0,2.5272e+24,1597552651329.6345,United States of America,USA,410.39,439.422136989181,180.33445079899
"GPT-3.5 (davinci-002)
",OpenAI,2022,Language,,2.578e+24,1597552651329.6345,United States of America,USA,410.39,448.2550922594605,183.95940731236
ERNIE 3.0 Titan,"Baidu,Peng Cheng Laboratory",2021,Language,260000000000.0,1.0421e+24,1217623224942.151,China,CHN,599.05,237.7354638878336,142.41542964200673
EXAONE 1.0,LG,2021,"Multimodal,Language,Vision",300000000000.0,1.6956e+24,1217623224942.151,South Korea,KOR,459.46,386.8191656925541,177.72793386910092
